RCP_SNO,CKG_NM,INQ_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,INQ_CNT_RATE,REVIEW_STAR_NORM_AVG,REVIEW_SENTIMENT_AVG,INQ_CNT_LOG,INQ_CNT_LOG_CENTERED,SRAP_CNT_LOG,SRAP_CNT_LOG_CENTERED,REVIEW_RANK_SCORE,INQ_CNT_2024,INQ_CNT_RATE_2024,INQ_CNT_LOG_2024,INQ_CNT_LOG_CENTERED_2024,INQ_CNT_2026,INQ_CNT_2026_CRAWLED_AT_UTC,INQ_CNT_DELTA_2024_2026,INQ_CNT_GROWTH_RATE_2024_2026,INQ_CNT_RATE_2026,INQ_CNT_LOG_2026,INQ_CNT_LOG_CENTERED_2026
7016814,된장수육,1396,1,삶기,술안주,돼지고기,메인반찬,"[['돼지고기 수육용삼겹살', '500', 'g'], [' 된장', '1.5', '큰술'], [' 술', '4', '큰술'], [' 홍어무침', '', ''], [' 무생채', '', ''], [' 콩나물무침', '', '']]",2인분,고급,2시간이내,0.022969215,,,7.242082359256962,-0.5266176966808516,0.6931471805599453,-1.6185242926945071,,1396,0.022969215,7.242082359256962,-0.5266176966808516,2042,2026-07-07T06:07:03.230726+00:00,646.0,0.46275071633237824,0.012285219232805506,7.622174594817622,-0.8833567496406491
7016815,우거지 감자탕,4008,29,끓이기,해장,돼지고기,국/탕,"[['돼지등뼈', '1.5', 'kg'], [' 양파', '1/2', '개'], [' 감자', '1', '개'], [' 대파', '1', '대'], [' 알배기배추', '1/2', '개'], [' 청양고추', '2', '개'], [' 깻잎', '10~15', '장'], [' 고추장', '2', 't'], [' 다진마늘', '1', 't'], [' 간장', '3', 't'], [' 고춧가루', '3', 't'], [' 액젓', '3', 't'], [' 다진생강', '1', 't'], [' 다시다', '1', 't'], [' 들깨가루', '3', 't']]",4인분,중급,2시간이내,0.065945999,,,8.296297112642508,0.5275970567046944,3.4011973816621555,1.089525908407703,,4008,0.065945999,8.296297112642508,0.5275970567046944,10149,2026-07-07T06:07:04.908958+00:00,6141.0,1.532185628742515,0.06105910381672041,9.225228984469933,0.7196976400116615
7016816,만두전골,6350,6,끓이기,손님접대,가공식품류,면/만두,"[['만두', '12', '개'], [' 청경채', '3', '개'], [' 양파', '1/2', '개'], [' 대파', '1/2', '개'], [' 느타리버섯', '100', 'g'], [' 홍고추', '', '약간'], [' 다시마', '4', '개'], [' 물', '1', 'l'], [' 국간장', '2', 't'], [' 참치 액', '1', 't'], [' 다진 마늘', '1', 't'], [' 통후추', '20', '바퀴']]",4인분,중급,60분이내,0.104480313,,,8.756367559802975,0.9876675038651612,1.9459101490553128,-0.3657613241991393,,6350,0.104480313,8.756367559802975,0.9876675038651612,7386,2026-07-07T06:07:06.678788+00:00,1036.0,0.1631496062992126,0.044436155364104536,8.907476977528738,0.4019456330704667
7016817,무수분보쌈,1829,6,삶기,손님접대,돼지고기,메인반찬,"[['통삼겹살', '600', 'g'], [' 양파', '1', '개'], [' 못난이 사과 小', '2', '개'], [' 대파', '2', '대'], [' 마늘', '8', '개'], [' 생강가루', '', ''], [' 월계수 잎', '4~5', '장'], [' 통후추', '', '조금'], [' 맛술', '1/2', '컵'], [' 설탕', '2', 't'], [' 꿀', '2', 't'], [' 레몬즙', '3', 't'], [' 올리브유', '0.5', 't']]",4인분,고급,90분이내,0.030093621,,,7.512071245835466,-0.256628810102347,1.9459101490553128,-0.3657613241991393,,1829,0.030093621,7.512071245835466,-0.256628810102347,2594,2026-07-07T06:07:08.985891+00:00,765.0,0.41826134499726625,0.015606199162535497,7.861341795599989,-0.6441895488582823
7016820,참치 카나페,4259,10,기타,일상,기타,디저트,"[['참치 1캔', '85', 'g'], [' 마요네즈', '1', '큰술'], [' 흰설탕', '2~3', '꼬집'], [' 후추', '', '톡톡'], [' 체다 슬라이스 치즈', '2', '장'], [' 참크래커', '1~2', '봉지'], [' 귤', '1', '개'], [' 대추 방울 토마토', '3', '개']]",2인분,고급,10분이내,0.070075851,,,8.357024439263416,0.5883243833256024,2.3978952727983707,0.0862237995439181,,4259,0.070075851,8.357024439263416,0.5883243833256024,9328,2026-07-07T06:07:10.518779+00:00,5069.0,1.190185489551538,0.05611974779804592,9.140883106960962,0.6353517625026903
7016824,소고기 떡국,1905,5,끓이기,일상,기타,국/탕,"[['소고기다짐육', '250', 'g'], [' 국간장', '4', '큰술'], [' 참기름', '1', '큰술'], [' 물', '8', '컵'], [' 후추', '', '약간'], [' 대파', '1', '대'], [' 떡국떡', '4', '공기'], [' 조미김', '', ''], [' 깨', '', '']]",4인분,중급,30분이내,0.031344094,,,7.552762084214147,-0.2159379717236662,1.791759469228055,-0.5199120040263976,,1905,0.031344094,7.552762084214147,-0.2159379717236662,2099,2026-07-07T06:07:12.695907+00:00,194.0,0.10183727034120735,0.012628146508158059,7.649692623711514,-0.8558387207467568
7016834,대파 간장계란밥,1408,12,볶음,일상,채소류,밥/죽/떡,"[['대파', '1.5', '대'], [' 다진마늘', '1/2', '스푼'], [' 계란', '2', '개'], [' 들기름', '4~5', '스푼'], [' 간장', '1', '스푼'], [' 통깨', '', '약간']]",1인분,고급,15분이내,0.023166658,,,7.25063551189868,-0.5180645440391336,2.5649493574615367,0.2532778842070842,,1408,0.023166658,7.25063551189868,-0.5180645440391336,2511,2026-07-07T06:07:14.452296+00:00,1103.0,0.7833806818181818,0.015106848919478269,7.828834527588089,-0.6766968168701819
7016836,브라운슈가헤이즐넛라떼,2704,4,기타,일상,달걀/유제품,차/음료/술,"[['인스턴트커피', '1', 't'], [' 브라운슈가', '1', 't'], [' 헤이즐넛시럽', '1', 't'], [' 뜨거운 물', '1', 't'], [' 얼음', '', '적당량'], [' 우유', '120', 'ml']]",1인분,고급,10분이내,0.044490515,,,7.902857191280582,0.1341571353427681,1.6094379124341005,-0.7022335608203523,,2704,0.044490515,7.902857191280582,0.1341571353427681,2901,2026-07-07T06:07:16.716377+00:00,197.0,0.07285502958579881,0.01745319343504837,7.973155433444133,-0.532375911014138
7016837,떡국,1472,16,끓이기,명절,소고기,국/탕,"[['소고기 다짐육', '200', 'g'], [' 식용유', '2', ''], [' 표고버섯', '3', '개'], [' 마른김', '2', '장'], [' 떡국떡', '2', '공기'], [' 다진 대파', '4', ''], [' 계란', '2', '개'], [' 물', '1.5', 'l'], [' 멸치육수팩', '2', '개'], [' 설탕', '1', '']]",2인분,고급,30분이내,0.024219688,,,7.29505641646263,-0.473643639475183,2.833213344056216,0.5215418708017636,,1472,0.024219688,7.29505641646263,-0.473643639475183,4557,2026-07-07T06:07:18.956003+00:00,3085.0,2.0957880434782608,0.027416133224238342,8.42463920980563,-0.08089213465264145
7016842,짜사이무침,3911,6,무침,일상,채소류,밑반찬,"[['짜사이', '400', 'g'], [' 대파', '1', '대'], [' 맛술', '1', '큰술'], [' 설탕', '1', '큰술'], [' 식초', '1', '큰술'], [' 참기름', '1/2', '큰술']]",6인분이상,초급,30분이내,0.064350001,,,8.271804031154709,0.5031039752168951,1.9459101490553128,-0.3657613241991393,,3911,0.064350001,8.271804031154709,0.5031039752168951,11980,2026-07-07T06:07:20.725219+00:00,8069.0,2.0631552032728204,0.0720748905039226,9.3910773406399,0.8855459961816283
7016862,생선초밥,2659,5,회,손님접대,해물류,밥/죽/떡,"[['다시마', '8', '조각'], [' 식초', '4', 't'], [' 설탕', '3.5', 't'], [' 소금', '0.9', 't'], [' 초대리', '2', 't'], [' 생선회', '13', '조각'], [' 김', '1/4', '장'], [' 무순', '', '약간'], [' 고추냉이', '', '약간']]",3인분,중급,60분이내,0.043750103,,,7.886081401775745,0.1173813458379315,1.791759469228055,-0.5199120040263976,,2659,0.043750103,7.886081401775745,0.1173813458379315,5616,2026-07-07T06:07:23.210690+00:00,2957.0,1.112072207596841,0.03378736102420946,8.633552992532433,0.12802164807416183
7016868,소불고기파스타,1056,4,볶음,손님접대,소고기,면/만두,"[['파스타면', '2', '인분'], [' 한우소고기', '200', 'g'], [' 대파', '1', '개'], [' 양파', '1/2', '개'], [' 양송이버섯', '6', '개'], [' 베이비 야채', '', '조금'], [' 미림', '1', 't'], [' 고춧가루', '3', 't'], [' 설탕', '2', 't'], [' 물엿', '1', 't'], [' 다진 마늘', '1', 't'], [' 물', '1/2', 'c']]",2인분,고급,15분이내,0.017374994,,,6.963189985870238,-0.8055100700675757,1.6094379124341005,-0.7022335608203523,,1056,0.017374994,6.963189985870238,-0.8055100700675757,1847,2026-07-07T06:07:25.163347+00:00,791.0,0.7490530303030303,0.011112046975020455,7.521859252201629,-0.9836720922566418
7016872,새우샐러드,1684,6,기타,기타,채소류,샐러드,"[['양상추', '3', '장'], [' 냉동새우', '6', '마리'], [' 올리브오일', '', '조금'], [' 허브솔트', '', '조금'], [' 블루베리', '2', '줌'], [' 방울토마토', '5', '개'], [' 마카다미아', '1', '줌'], [' 꿀', '2', 't'], [' 레몬즙', '1.5', 't'], [' 소금', '1/3', 't']]",1인분,초급,30분이내,0.02770785,,,7.429520842786462,-0.3391792131513513,1.9459101490553128,-0.3657613241991393,,1684,0.02770785,7.429520842786462,-0.3391792131513513,2526,2026-07-07T06:07:26.884808+00:00,842.0,0.5,0.015197092939307889,7.834788107388194,-0.6707432370700772
